ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
1514.2,509420,1699502534,1699502535,131,11,1514.0,1514.2,5,152160,140575,1507.0,1487.4,1518.0,0,0,1487.4,1479.75,sf,NSE:M&M-EQ,34.45,2.3281
272.95,6537699,1699502535,1699502535,1799,7717,272.85,272.95,37,1157222,1079444,270.13,265.45,272.95,0,0,267.0,263.05,sf,NSE:PFC-EQ,9.9,3.7635
556.9,94664,1699502532,1699502535,308,6,556.75,556.9,4,280643,282983,556.37,554.5,557.8,0,0,555.7,552.0,sf,NSE:UPL-EQ,4.9,0.8877
392.75,794309,1699502534,1699502535,1124,8,392.75,392.85,300,311680,1110149,393.17,390.55,395.85,0,0,395.1,383.8,sf,NSE:ADANIPOWER-EQ,8.95,2.3319
388.4,208473,1699502528,1699502535,31,51,388.2,388.35,78,105558,368736,388.28,386.5,389.4,0,0,386.6,386.2,sf,NSE:JSWENERGY-EQ,2.2,0.5697
1493.8,96587,1699502535,1699502535,11,470,1493.8,1494.0,3,150190,202431,1490.05,1484.85,1494.95,0,0,1488.95,1486.4,sf,NSE:INDUSINDBK-EQ,7.4,0.4978
104.95,1222944,1699502531,1699502535,4317,100,104.9,104.95,1,581248,1885859,104.57,103.9,105.1,0,0,104.3,103.2,sf,NSE:BANKINDIA-EQ,1.75,1.6957
321.25,1397833,1699502535,1699502535,279,119,321.15,321.25,20,722560,843220,319.82,316.8,321.35,0,0,318.45,314.25,sf,NSE:COALINDIA-EQ,7.0,2.2275
1813.7,264722,1699502535,1699502535,83,5,1812.6,1813.7,3,328514,96928,1803.73,1781.1,1815.45,0,0,1781.85,1764.6,sf,NSE:GODREJPROP-EQ,49.1,2.7825
1723.0,16328,1699502532,1699502535,20,120,1722.6,1723.0,7,85429,93174,1718.15,1711.2,1724.45,0,0,1716.9,1709.0,sf,NSE:TATACOMM-EQ,14.0,0.8192
